personRank,movieTitle,director,person,IMDBRating,year,seen
5,Bad Timing,Nicolas Roeg,Christopher Nolan,7,1980,
6,Merry Christmas Mr. Lawrence,Nagisa Oshima,Christopher Nolan,7.3,1983,
7,For All Mankind,Al Reinert,Christopher Nolan,8.2,1989,
8,Koyaanisqatsi,Godfrey Reggio,Christopher Nolan,8.3,1982,Yes
9,The Complete Mr. Arkadin (Confidential Report),Orson Welles,Christopher Nolan,7.3,1955,
1,Being John Malkovich,Spike Jonze,Flying Lotus,7.7,1999,
2,Fear and Loathing in Las Vegas,Terry Gilliam,Flying Lotus,7.6,1998,
3,Do the Right Thing,Spike Lee,Flying Lotus,7.9,1989,
4,The Life Aquatic with Steve Zissou,Wes Anderson,Flying Lotus,7.3,2004,Yes
5,8½,Federico Fellini,Flying Lotus,8,1963,
6,The Seventh Seal,Ingmar Bergman,Flying Lotus,8.2,1957,
7,Man Bites Dog,"Rémy Belvaux, André Bonzel, and Benoit Poelvoorde",Flying Lotus,7.5,1992,
8,Brazil,Terry Gilliam,Flying Lotus,7.9,1985,
9,Persian Series #1,Stan Brakhage,Flying Lotus,5.3,1999,
10,Beastie Boys Video Anthology,Various,Flying Lotus,8.3,2000,
1,8½,Federico Fellini,Paul Feig,8,1963,
2,Harold and Maude,Hal Ashby,Paul Feig,7.9,1971,
3,Loves of a Blonde,Miloš Forman,Paul Feig,7.6,1965,
4,Mafioso,Alberto Lattuada,Paul Feig,7.7,1962,
5,Naked,Mike Leigh,Paul Feig,7.8,1993,
6,Nights of Cabiria,Federico Fellini,Paul Feig,8.1,1957,
7,Ran,Akira Kurosawa,Paul Feig,8.2,1958,
8,Koyaanisqatsi,Godfrey Reggio,Paul Feig,8.3,1982,Yes
9,Stranger Than Paradise,Jim Jarmusch,Paul Feig,7.5,1984,
10,This Is Spinal Tap,Rob Reiner,Paul Feig,7.9,1984,
1,The Night of the Hunter,Charles Laughton,William Friedkin,8,1955,
2,Night and Fog,Alain Resnais,William Friedkin,8.6,1956,
3,Last Year at Marienbad,Alain Resnais,William Friedkin,7.8,1961,
4,Diabolique,Henri-Georges Clouzot,William Friedkin,8,1955,
5,Ordet,Carl Th. Dreyer,William Friedkin,8.3,1955,
6,The Red Shoes,Michael Powell and Emeric Pressburger,William Friedkin,8.2,1948,
7,Paths of Glory,Stanley Kubrick,William Friedkin,8.4,1957,
8,Le samouraï,Jean-Pierre Melville,William Friedkin,8.1,1967,
9,Vengeance Is Mine,Shohei Imamura,William Friedkin,7.8,1979,
10,Belle de jour,Luis Buñuel,William Friedkin,7.7,1967,
1,The 400 Blows,François Truffaut,Franc Roddam,8.1,1959,
2,Bicycle Thieves,Vittorio De Sica,Franc Roddam,8.3,1948,Yes
3,The Killing,Stanley Kubrick,Franc Roddam,8,1956,
4,Seduced and Abandoned,Pietro Germi,Franc Roddam,8,1964,
5,Seven Samurai,Akira Kurosawa,Franc Roddam,8.6,1954,
6,The Spirit of the Beehive,Víctor Erice,Franc Roddam,7.9,1973,
7,Sweet Smell of Success,Alexander Mackendrick,Franc Roddam,8.1,1957,
8,The Third Man,Carol Reed,Franc Roddam,8.1,1949,
9,The Wages of Fear,Henri-Georges Clouzot,Franc Roddam,8.1,1953,Yes
10,Wings of Desire,Wim Wenders,Franc Roddam,8,1987,
1,L'avventura,Michelangelo Antonioni,Andrew Haigh,7.9,1960,
2,Five Easy Pieces,Bob Rafelson,Andrew Haigh,7.5,1970,
3,Black Narcissus,Michael Powell and Emeric Pressburger,Andrew Haigh,7.8,1947,
4,Fanny and Alexander: Theatrical Version,Ingmar Bergman,Andrew Haigh,8.1,1982,
5,Cries and Whispers,Ingmar Bergman,Andrew Haigh,8.1,1972,
6,Au revoir les enfants,Louis Malle,Andrew Haigh,8,1987,
7,Ratcatcher,Lynne Ramsay,Andrew Haigh,7.5,1999,
8,The Last Picture Show,Peter Bogdanovich,Andrew Haigh,8,1971,
9,Cléo from 5 to 7,Agnès Varda,Andrew Haigh,8,1962,
10,The Man Who Fell to Earth,Nicolas Roeg,Andrew Haigh,6.7,1976,
1,A Woman Is a Woman,Jean-Luc Godard,Brie Larson,7.5,1961,
2,The Exterminating Angel,Luis Buñuel,Brie Larson,8.1,1962,
3,The Game,David Fincher,Brie Larson,7.8,1997,
4,Opening Night,John Cassavetes,Brie Larson,8,1977,
5,Metropolitan,Whit Stillman,Brie Larson,7.4,1990,
6,I Am Curious (Yellow),Vilgot Sjöman,Brie Larson,6.1,1967,
7,Naked,Mike Leigh,Brie Larson,7.8,1993,
8,Red Desert,Michelangelo Antonioni,Brie Larson,7.6,1964,
9,Scenes from a Marriage,Ingmar Bergman,Brie Larson,8.5,1974,
10,The Third Man,Carol Reed,Brie Larson,8.1,1949,
1,Juliet of the Spirits,Federico Fellini,Miguel Arteta,7.6,1965,
2,The Docks of New York,Josef von Sternberg,Miguel Arteta,7.5,1928,
3,French Cancan,Jean Renoir,Miguel Arteta,7.3,1955,
4,Something Wild,Jonathan Demme,Miguel Arteta,6.9,1986,
5,Shock Corridor,Samuel Fuller,Miguel Arteta,7.4,1963,
6,Dodes'ka-den,Akira Kurosawa,Miguel Arteta,7.4,1970,
7,Magnificent Obsession,Douglas Sirk,Miguel Arteta,7.1,1954,
8,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,Miguel Arteta,8.1,1974,
9,Breathless,Jean-Luc Godard,Miguel Arteta,7.9,1960,
10,Do the Right Thing,Spike Lee,Miguel Arteta,7.9,1989,
11,Trouble in Paradise,Ernst Lubitsch,Miguel Arteta,8,1932,
1,Slacker,Richard Linklater,Chuck Klosterman,7.1,1990,
2,This Is Spinal Tap,Rob Reiner,Chuck Klosterman,7.9,1984,
3,F for Fake,Orson Welles,Chuck Klosterman,7.8,1973,
4,Hoop Dreams,Steve James,Chuck Klosterman,8.3,1994,
5,Kicking and Screaming,Noah Baumbach,Chuck Klosterman,6.9,1995,
6,House of Games,David Mamet,Chuck Klosterman,7.3,1987,
7,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",Chuck Klosterman,7.9,1970,
8,Being John Malkovich,Spike Jonze,Chuck Klosterman,7.7,1999,
9,The Last Days of Disco,Whit Stillman,Chuck Klosterman,6.7,1998,
10,Rushmore,Wes Anderson,Chuck Klosterman,7.7,1998,Yes
1,The 400 Blows,François Truffaut,Phil Rosenthal,8.1,1959,
2,Burden of Dreams,Les Blank,Phil Rosenthal,7.9,1982,
3,Harold and Maude,Hal Ashby,Phil Rosenthal,7.9,1971,
4,The Lady Eve,Preston Sturges,Phil Rosenthal,7.8,1941,
5,The Last Temptation of Christ,Martin Scorsese,Phil Rosenthal,7.6,1988,
6,The Night of the Hunter,Charles Laughton,Phil Rosenthal,8,1955,
7,Notorious,Alfred Hitchcock,Phil Rosenthal,7.9,1946,Yes
8,The Red Balloon,Albert Lamorisse,Phil Rosenthal,8.2,1956,
9,Sullivan's Travels,Preston Sturges,Phil Rosenthal,8,1941,
10,Sweet Smell of Success,Alexander Mackendrick,Phil Rosenthal,8.1,1957,
1,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",John Taylor,7.9,1970,
2,Monterey Pop,D. A. Pennebaker,John Taylor,8,1968,
3,The 39 Steps,Alfred Hitchcock,John Taylor,7.7,1935,Yes
4,Brazil,Terry Gilliam,John Taylor,7.9,1985,
5,The Life and Death of Colonel Blimp,Michael Powell and Emeric Pressburger,John Taylor,8.1,1943,
6,Smiles of a Summer Night,Ingmar Bergman,John Taylor,7.8,1955,
7,The Spy Who Came in from the Cold,Martin Ritt,John Taylor,7.6,1965,
8,Wings of Desire,Wim Wenders,John Taylor,8,1987,
9,The Silence of the Lambs,Jonathan Demme,John Taylor,8.6,1991,Yes
10,Short Cuts,Robert Altman,John Taylor,7.7,1993,
1,8½,Federico Fellini,Oren Moverman,8,1963,
2,The Third Man,Carol Reed,Oren Moverman,8.1,1949,
3,Pierrot le fou,Jean-Luc Godard,Oren Moverman,7.6,1965,
4,Grand Illusion,Jean Renoir,Oren Moverman,8.1,1937,
5,In the Realm of the Senses,Nagisa Oshima,Oren Moverman,6.6,1976,
6,Short Cuts,Robert Altman,Oren Moverman,7.7,1993,
7,The Lady Eve,Preston Sturges,Oren Moverman,7.8,1941,
7,Sullivan's Travels,Preston Sturges,Oren Moverman,8,1941,
8,Salesman,"David Maysles, Albert Maysles, and Charlotte Zwerin",Oren Moverman,7.8,1969,
9,The Hidden Fortress,Akira Kurosawa,Oren Moverman,8.1,1958,
10,Wings of Desire,Wim Wenders,Oren Moverman,8,1987,
1,12 Angry Men,Sidney Lumet,Susie Bright,8.9,1957,
2,Beauty and the Beast,Jean Cocteau,Susie Bright,7.9,1946,
3,The Battle of Algiers,Gillo Pontecorvo,Susie Bright,8.1,1966,
4,Je tu il elle,Chantal Akerman,Susie Bright,6.8,1974,
5,Harlan County USA,Barbara Kopple,Susie Bright,8.2,1976,
6,The Harder They Come,Perry Henzell,Susie Bright,6.9,1972,
7,Mon oncle Antoine,Claude Jutra,Susie Bright,7.6,1971,
8,Pickup on South Street,Samuel Fuller,Susie Bright,7.7,1953,
9,Scenes from a Marriage,Ingmar Bergman,Susie Bright,8.5,1974,
10,Two-Lane Blacktop,Monte Hellman,Susie Bright,7.2,1971,
1,Hoop Dreams,Steve James,Dominic Monaghan,8.3,1994,
2,Sid & Nancy,Alex Cox,Dominic Monaghan,7,1986,
3,La haine,Mathieu Kassovitz,Dominic Monaghan,8.1,1995,
4,Kes,Ken Loach,Dominic Monaghan,7.9,1969,
5,Crumb,Terry Zwigoff,Dominic Monaghan,8,1994,
6,Amarcord,Federico Fellini,Dominic Monaghan,7.9,1973,
7,Billy Liar,John Schlesinger,Dominic Monaghan,7.4,1963,
8,Night on Earth,Jim Jarmusch,Dominic Monaghan,7.8,1991,
9,Withnail and I,Bruce Robinson,Dominic Monaghan,7.7,1987,
10,Monty Python's Life of Brian,Terry Jones,Dominic Monaghan,8.1,1979,
1,Brief Encounter,David Lean,Michael Korda,8,1945,
2,The Fallen Idol,Carol Reed,Michael Korda,7.7,1948,
3,Great Expectations,David Lean,Michael Korda,7.8,1946,
4,Paths of Glory,Stanley Kubrick,Michael Korda,8.4,1957,
5,Rififi,Jules Dassin,Michael Korda,8.2,1955,
6,The Ruling Class,Peter Medak,Michael Korda,7.5,1972,
7,Summertime,David Lean,Michael Korda,7.2,1955,
8,Sweet Smell of Success,Alexander Mackendrick,Michael Korda,8.1,1957,
9,Tunes of Glory,Ronald Neame,Michael Korda,7.5,1960,
10,The Wages of Fear,Henri-Georges Clouzot,Michael Korda,8.1,1953,Yes
11,À nous la liberté,René Clair,Michael Korda,7.5,1931,
1,Z,Costa-Gavras,Alec Baldwin,8.3,1969,
2,Sweet Smell of Success,Alexander Mackendrick,Alec Baldwin,8.1,1957,
3,Sid & Nancy,Alex Cox,Alec Baldwin,7,1986,
4,The Royal Tenenbaums,Wes Anderson,Alec Baldwin,7.6,2001,
5,Paths of Glory,Stanley Kubrick,Alec Baldwin,8.4,1957,
6,High and Low,Akira Kurosawa,Alec Baldwin,8.5,1963,
7,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",Alec Baldwin,7.9,1970,
8,Oliver Twist,David Lean,Alec Baldwin,7.8,1948,
9,Do the Right Thing,Spike Lee,Alec Baldwin,7.9,1989,
10,Hunger,Steve McQueen,Alec Baldwin,7.6,2008,
1,Tokyo Drifter,Seijun Suzuki,Nicolas Winding Refn,7.2,1966,
2,The Battle of Algiers,Gillo Pontecorvo,Nicolas Winding Refn,8.1,1966,
3,Vampyr,Carl Th. Dreyer,Nicolas Winding Refn,7.6,1932,
4,The Night of the Hunter,Charles Laughton,Nicolas Winding Refn,8,1955,
5,Videodrome,David Cronenberg,Nicolas Winding Refn,7.3,1983,
6,Flesh for Frankenstein,Paul Morrissey,Nicolas Winding Refn,5.9,1973,
7,Sweet Smell of Success,Alexander Mackendrick,Nicolas Winding Refn,8.1,1957,
8,My Life as a Dog,Lasse Hallström,Nicolas Winding Refn,7.6,1985,
9,Beauty and the Beast,Jean Cocteau,Nicolas Winding Refn,7.9,1946,
10,Branded to Kill,Seijun Suzuki,Nicolas Winding Refn,7.4,1967,
1,Casque d'or,Jacques Becker,Aki Kaurismäki,7.7,1952,
1,Au hasard Balthazar,Robert Bresson,Aki Kaurismäki,7.9,1966,
2,Tokyo Story,Yasujiro Ozu,Aki Kaurismäki,8.2,1953,
2,Late Spring,Yasujiro Ozu,Aki Kaurismäki,8.3,1949,
2,An Autumn Afternoon,Yasujiro Ozu,Aki Kaurismäki,8.1,1962,
3,Ikiru,Akira Kurosawa,Aki Kaurismäki,8.3,1952,
3,Red Beard,Akira Kurosawa,Aki Kaurismäki,8.4,1965,
4,Written on the Wind,Douglas Sirk,Aki Kaurismäki,7.4,1956,
4,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,Aki Kaurismäki,8.1,1974,
5,Shadows,John Cassavetes,Aki Kaurismäki,7.3,1958,
5,Faces,John Cassavetes,Aki Kaurismäki,7.7,1968,
5,A Woman Under the Influence,John Cassavetes,Aki Kaurismäki,8.2,1974,
5,The Killing of a Chinese Bookie,John Cassavetes,Aki Kaurismäki,7.4,1976,
5,Opening Night,John Cassavetes,Aki Kaurismäki,8,1977,
6,À propos de Nice,Jean Vigo and Boris Kaufman,Aki Kaurismäki,6,1995,
6,Zéro de conduite (Zero for Conduct),Jean Vigo,Aki Kaurismäki,7.3,1933,
6,L'Atalante,Jean Vigo,Aki Kaurismäki,7.8,1934,
6,Nanook of the North,Robert Flaherty,Aki Kaurismäki,7.6,1922,
7,49th Parallel,Michael Powell,Aki Kaurismäki,7.3,1941,
7,The Small Back Room (Hour of Glory),Michael Powell and Emeric Pressburger,Aki Kaurismäki,7.3,1949,
8,Army of Shadows,Jean-Pierre Melville,Aki Kaurismäki,8.2,1969,
8,Le deuxième souffle,Jean-Pierre Melville,Aki Kaurismäki,8,1966,
9,Port of Shadows,Marcel Carné,Aki Kaurismäki,7.8,1938,
9,Bicycle Thieves,Vittorio De Sica,Aki Kaurismäki,8.3,1948,Yes
10,The Night of the Hunter,Charles Laughton,Aki Kaurismäki,8,1955,
10,Ace in the Hole,Billy Wilder,Aki Kaurismäki,8.2,1951,
10,Simon of the Desert,Luis Buñuel,Aki Kaurismäki,7.9,1965,
10,Jimi Plays Monterey & Shake! Otis at Monterey,D. A. Pennebaker and Chris Hegedus,Aki Kaurismäki,8.2,1986,
11,This Is Spinal Tap,Rob Reiner,Aki Kaurismäki,7.9,1984,
1,Blow Out,Brian De Palma,Edgar Wright,7.4,1981,
2,Brazil,Terry Gilliam,Edgar Wright,7.9,1985,
3,The Discreet Charm of the Bourgeoisie,Luis Buñuel,Edgar Wright,7.9,1972,
4,Eyes Without a Face,Georges Franju,Edgar Wright,7.7,1960,
5,Head,Bob Rafelson,Edgar Wright,6.6,1968,
6,Peeping Tom,Michael Powell,Edgar Wright,7.7,1960,
7,Rushmore,Wes Anderson,Edgar Wright,7.7,1998,Yes
8,Le samouraï,Jean-Pierre Melville,Edgar Wright,8.1,1967,
9,This Is Spinal Tap,Rob Reiner,Edgar Wright,7.9,1984,
10,Walkabout,Nicolas Roeg,Edgar Wright,7.6,1971,
11,Two-Lane Blacktop,Monte Hellman,Edgar Wright,7.2,1971,
1,The Bakery Girl of Monceau,Eric Rohmer,Richard Ayoade,7.4,1963,
1,Suzanne's Career,Eric Rohmer,Richard Ayoade,7.1,1963,
1,La collectionneuse,Eric Rohmer,Richard Ayoade,7.5,1967,
1,My Night at Maud's,Eric Rohmer,Richard Ayoade,8,1969,
1,Claire's Knee,Eric Rohmer,Richard Ayoade,7.7,1970,
1,Chloe in the Afternoon,Eric Rohmer,Richard Ayoade,7.7,1972,
2,Zazie dans le métro,Louis Malle,Richard Ayoade,7,1960,
3,Contempt,Jean-Luc Godard,Richard Ayoade,7.6,1963,
4,Days of Heaven,Terrence Malick,Richard Ayoade,7.9,1978,
5,F for Fake,Orson Welles,Richard Ayoade,7.8,1973,
6,Scenes from a Marriage,Ingmar Bergman,Richard Ayoade,8.5,1974,
7,Fat Girl,Catherine Breillat,Richard Ayoade,6.5,2001,
8,The Golden Age of Television,,Richard Ayoade,7.7,1981,
9,Ikiru,Akira Kurosawa,Richard Ayoade,8.3,1952,
10,Metropolitan,Whit Stillman,Richard Ayoade,7.4,1990,
1,My Life as a Dog,Lasse Hallström,Robert Ben Garant and Tom Lennon,7.6,1985,
2,Brazil,Terry Gilliam,Robert Ben Garant and Tom Lennon,7.9,1985,
3,The Ice Storm,Ang Lee,Robert Ben Garant and Tom Lennon,7.4,1997,
4,Bicycle Thieves,Vittorio De Sica,Robert Ben Garant and Tom Lennon,8.3,1948,Yes
5,This Is Spinal Tap,Rob Reiner,Robert Ben Garant and Tom Lennon,7.9,1984,
6,Hard Boiled,John Woo,Robert Ben Garant and Tom Lennon,7.8,1992,
7,Hopscotch,Ronald Neame,Robert Ben Garant and Tom Lennon,7.1,1980,
8,Crumb,Terry Zwigoff,Robert Ben Garant and Tom Lennon,8,1994,
9,Stagecoach,John Ford,Robert Ben Garant and Tom Lennon,7.9,1939,
10,Sullivan's Travels,Preston Sturges,Robert Ben Garant and Tom Lennon,8,1941,
1,The Friends of Eddie Coyle,Peter Yates,Anthony Bourdain,7.5,1973,
2,Eyes Without a Face,Georges Franju,Anthony Bourdain,7.7,1960,
3,The Battle of Algiers,Gillo Pontecorvo,Anthony Bourdain,8.1,1966,
4,Chungking Express,Wong Kar-wai,Anthony Bourdain,8.1,1994,
5,Kiss Me Deadly,Robert Aldrich,Anthony Bourdain,7.6,1955,
6,Merry Christmas Mr. Lawrence,Nagisa Oshima,Anthony Bourdain,7.3,1983,
7,Withnail and I,Bruce Robinson,Anthony Bourdain,7.7,1987,
8,Army of Shadows,Jean-Pierre Melville,Anthony Bourdain,8.2,1969,
9,House of Games,David Mamet,Anthony Bourdain,7.3,1987,
10,Sullivan's Travels,Preston Sturges,Anthony Bourdain,8,1941,
1,The Battle of Algiers,Gillo Pontecorvo,John Bailey,8.1,1966,
2,Black Narcissus,Michael Powell and Emeric Pressburger,John Bailey,7.8,1947,
3,The Fire Within,Louis Malle,John Bailey,8,1963,
4,The Wages of Fear,Henri-Georges Clouzot,John Bailey,8.1,1953,Yes
5,I fidanzati,Ermanno Olmi,John Bailey,7.6,1963,
6,Mishima: A Life in Four Chapters,Paul Schrader,John Bailey,7.9,1985,
7,Rome Open City,Roberto Rossellini,John Bailey,8.1,1945,
7,Paisan,Roberto Rossellini,John Bailey,7.7,1946,
7,Germany Year Zero,Roberto Rossellini,John Bailey,7.9,1948,
8,L'eclisse,Michelangelo Antonioni,John Bailey,7.9,1962,
9,Contempt,Jean-Luc Godard,John Bailey,7.6,1963,
10,The 400 Blows,François Truffaut,John Bailey,8.1,1959,
11,The Rules of the Game,Jean Renoir,John Bailey,8.1,1939,
1,Mon oncle,Jacques Tati,João Pedro Rodrigues,7.8,1958,
2,Good Morning,Yasujiro Ozu,João Pedro Rodrigues,7.9,1959,
3,The Night of the Hunter,Charles Laughton,João Pedro Rodrigues,8,1955,
4,Sansho the Bailiff,Kenji Mizoguchi,João Pedro Rodrigues,8.4,1954,
5,All That Heaven Allows,Douglas Sirk,João Pedro Rodrigues,7.6,1955,
5,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,João Pedro Rodrigues,8.1,1974,
6,Eyes Without a Face,Georges Franju,João Pedro Rodrigues,7.7,1960,
6,Peeping Tom,Michael Powell,João Pedro Rodrigues,7.7,1960,
7,The Naked Kiss,Samuel Fuller,João Pedro Rodrigues,7.3,1964,
8,Stagecoach,John Ford,João Pedro Rodrigues,7.9,1939,
9,Pickpocket,Robert Bresson,João Pedro Rodrigues,7.7,1959,
10,La ronde,Max Ophuls,João Pedro Rodrigues,7.6,1950,
10,The Earrings of Madame de . . .,Max Ophuls,João Pedro Rodrigues,8,1953,
1,High and Low,Akira Kurosawa,Bill Hader,8.5,1963,
1,Stray Dog,Akira Kurosawa,Bill Hader,7.9,1949,
2,Good Morning,Yasujiro Ozu,Bill Hader,7.9,1959,
2,George Washington,David Gordon Green,Bill Hader,7.4,2000,
3,The Hit,Stephen Frears,Bill Hader,7.1,1984,
3,Mona Lisa,Neil Jordan,Bill Hader,7.3,1986,
4,Dazed and Confused,Richard Linklater,Bill Hader,7.6,1993,
4,Bottle Rocket,Wes Anderson,Bill Hader,7,1996,Yes
5,Repulsion,Roman Polanski,Bill Hader,7.7,1965,
5,Sisters,Brian De Palma,Bill Hader,6.9,1972,
6,The Earrings of Madame de . . .,Max Ophuls,Bill Hader,8,1953,
6,Le plaisir,Max Ophuls,Bill Hader,7.7,1952,
7,Down by Law,Jim Jarmusch,Bill Hader,7.8,1986,
7,Le doulos,Jean-Pierre Melville,Bill Hader,7.8,1962,
8,Ace in the Hole,Billy Wilder,Bill Hader,8.2,1951,
8,Sullivan's Travels,Preston Sturges,Bill Hader,8,1941,
9,The Thin Red Line,Terrence Malick,Bill Hader,7.6,1998,
9,The Steel Helmet,Samuel Fuller,Bill Hader,7.5,1951,
10,Monty Python's Life of Brian,Terry Jones,Bill Hader,8.1,1979,
10,This Is Spinal Tap,Rob Reiner,Bill Hader,7.9,1984,
1,The White Sheik,Federico Fellini,Greg Mottola,7.2,1952,
1,I vitelloni,Federico Fellini,Greg Mottola,7.9,1953,
1,Nights of Cabiria,Federico Fellini,Greg Mottola,8.1,1957,
1,8½,Federico Fellini,Greg Mottola,8,1963,
1,Amarcord,Federico Fellini,Greg Mottola,7.9,1973,
2,Through a Glass Darkly,Ingmar Bergman,Greg Mottola,8.1,1961,
2,The Silence,Ingmar Bergman,Greg Mottola,7.9,1963,
2,Fanny and Alexander: Theatrical Version,Ingmar Bergman,Greg Mottola,8.1,1982,
3,Umberto D.,Vittorio De Sica,Greg Mottola,8.2,1952,
4,The Last Picture Show,Peter Bogdanovich,Greg Mottola,8,1971,
5,Modern Times,Charles Chaplin,Greg Mottola,8.5,1936,
6,Notorious,Alfred Hitchcock,Greg Mottola,7.9,1946,Yes
7,The Third Man,Carol Reed,Greg Mottola,8.1,1949,
8,Sweet Smell of Success,Alexander Mackendrick,Greg Mottola,8.1,1957,
9,Stranger Than Paradise,Jim Jarmusch,Greg Mottola,7.5,1984,
10,Naked,Mike Leigh,Greg Mottola,7.8,1993,
1,Peeping Tom,Michael Powell,Georgia Hubley,7.7,1960,
2,The Discreet Charm of the Bourgeoisie,Luis Buñuel,Georgia Hubley,7.9,1972,
3,The Wages of Fear,Henri-Georges Clouzot,Georgia Hubley,8.1,1953,Yes
4,Pickup on South Street,Samuel Fuller,Georgia Hubley,7.7,1953,
5,Two-Lane Blacktop,Monte Hellman,Georgia Hubley,7.2,1971,
6,Au hasard Balthazar,Robert Bresson,Georgia Hubley,7.9,1966,
7,The Spirit of the Beehive,Víctor Erice,Georgia Hubley,7.9,1973,
8,The Silence of the Lambs,Jonathan Demme,Georgia Hubley,8.6,1991,Yes
9,Billy Liar,John Schlesinger,Georgia Hubley,7.4,1963,
10,White Dog,Samuel Fuller,Georgia Hubley,7.1,1982,
1,The Battle of Algiers,Gillo Pontecorvo,Scott Morse's T,8.1,1966,
2,The Golden Age of Television,,Scott Morse's T,7.7,1981,
3,Kwaidan,Masaki Kobayashi,Scott Morse's T,8,1964,
4,Notorious,Alfred Hitchcock,Scott Morse's T,7.9,1946,Yes
5,Pickup on South Street,Samuel Fuller,Scott Morse's T,7.7,1953,
6,The Red Shoes,Michael Powell and Emeric Pressburger,Scott Morse's T,8.2,1948,
7,Rififi,Jules Dassin,Scott Morse's T,8.2,1955,
8,Seven Samurai,Akira Kurosawa,Scott Morse's T,8.6,1954,
9,The Third Man,Carol Reed,Scott Morse's T,8.1,1949,
10,Yojimbo,Akira Kurosawa,Scott Morse's T,8.2,1961,
11,The Blob,Irvin S. Yeaworth Jr.,Scott Morse's T,6.4,1958,
1,Throne of Blood,Akira Kurosawa,Guillermo del Toro,8.1,1957,
1,High and Low,Akira Kurosawa,Guillermo del Toro,8.5,1963,
1,Ran,Akira Kurosawa,Guillermo del Toro,8.2,1958,
2,The Seventh Seal,Ingmar Bergman,Guillermo del Toro,8.2,1957,
2,Fanny and Alexander: Theatrical Version,Ingmar Bergman,Guillermo del Toro,8.1,1982,
3,Beauty and the Beast,Jean Cocteau,Guillermo del Toro,7.9,1946,
3,Eyes Without a Face,Georges Franju,Guillermo del Toro,7.7,1960,
4,Great Expectations,David Lean,Guillermo del Toro,7.8,1946,
4,Oliver Twist,David Lean,Guillermo del Toro,7.8,1948,
5,Time Bandits,Terry Gilliam,Guillermo del Toro,7,1981,
5,Brazil,Terry Gilliam,Guillermo del Toro,7.9,1985,
6,Onibaba,Kaneto Shindo,Guillermo del Toro,8,1964,
6,Kuroneko,Kaneto Shindo,Guillermo del Toro,7.7,1968,
7,Spartacus,Stanley Kubrick,Guillermo del Toro,7.9,1960,
7,Paths of Glory,Stanley Kubrick,Guillermo del Toro,8.4,1957,
8,Sullivan's Travels,Preston Sturges,Guillermo del Toro,8,1941,
8,Unfaithfully Yours,Preston Sturges,Guillermo del Toro,7.6,1948,
9,Vampyr,Carl Th. Dreyer,Guillermo del Toro,7.6,1932,
9,Häxan,Benjamin Christensen,Guillermo del Toro,7.7,1922,
10,The Spirit of the Beehive,Víctor Erice,Guillermo del Toro,7.9,1973,
10,The Night of the Hunter,Charles Laughton,Guillermo del Toro,8,1955,
1,L'avventura,Michelangelo Antonioni,Angus MacLachlan,7.9,1960,
2,The Rules of the Game,Jean Renoir,Angus MacLachlan,8.1,1939,
3,Fanny and Alexander: Television Version,Ingmar Bergman,Angus MacLachlan,9.1,1983,
4,Downhill Racer,Michael Ritchie,Angus MacLachlan,6.4,1969,
5,The Earrings of Madame de . . .,Max Ophuls,Angus MacLachlan,8,1953,
6,Boudu Saved from Drowning,Jean Renoir,Angus MacLachlan,7.4,1932,
7,Black Narcissus,Michael Powell and Emeric Pressburger,Angus MacLachlan,7.8,1947,
8,Trouble in Paradise,Ernst Lubitsch,Angus MacLachlan,8,1932,
9,The Third Man,Carol Reed,Angus MacLachlan,8.1,1949,
10,Through a Glass Darkly,Ingmar Bergman,Angus MacLachlan,8.1,1961,
10,Winter Light,Ingmar Bergman,Angus MacLachlan,8.1,1963,
10,The Silence,Ingmar Bergman,Angus MacLachlan,7.9,1963,
1,The Earrings of Madame de . . .,Max Ophuls,Wes Anderson,8,1953,
2,Au hasard Balthazar,Robert Bresson,Wes Anderson,7.9,1966,
3,Pigs and Battleships,Shohei Imamura,Wes Anderson,7.5,1961,
3,The Insect Woman,Shohei Imamura,Wes Anderson,7.5,1963,
3,Intentions of Murder,Shohei Imamura,Wes Anderson,7.8,1964,
4,The Taking of Power by Louis XIV,Roberto Rossellini,Wes Anderson,7.1,1966,
5,The Spy Who Came in from the Cold,Martin Ritt,Wes Anderson,7.6,1965,
6,The Friends of Eddie Coyle,Peter Yates,Wes Anderson,7.5,1973,
7,Classe tous risques,Claude Sautet,Wes Anderson,7.5,1960,
8,L'enfance nue,Maurice Pialat,Wes Anderson,7.6,1968,
9,Mishima: A Life in Four Chapters,Paul Schrader,Wes Anderson,7.9,1985,
10,The Exterminating Angel,Luis Buñuel,Wes Anderson,8.1,1962,
1,The Third Man,Carol Reed,Marcel Dzama,8.1,1949,
2,Brand upon the Brain!,Guy Maddin,Marcel Dzama,7.3,2006,
3,The Fire Within,Louis Malle,Marcel Dzama,8,1963,
4,Murmur of the Heart,Louis Malle,Marcel Dzama,7.7,1971,
5,My Life as a Dog,Lasse Hallström,Marcel Dzama,7.6,1985,
6,The Discreet Charm of the Bourgeoisie,Luis Buñuel,Marcel Dzama,7.9,1972,
